# of episode, training score, validation score, sigma
1, 608.5, 257.3, 0.10000
2, 152.3, 120.8, 0.10000
3, 129.2, 158.4, 0.10000
4, 143.2, 224.5, 0.10000
5, 227.3, 217.6, 0.10000
6, 231.5, 158.1, 0.10000
7, 163.5, 142.5, 0.10000
8, 189.4, 258.7, 0.10000
9, 316.8, 254.7, 0.10000
10, 263.9, 313.4, 0.10000
11, 367.3, 316.1, 0.10000
12, 381.8, 866.8, 0.10000
13, 448.9, 393.9, 0.10000
14, 526.9, 353.3, 0.10000
15, 257.1, 169.8, 0.10000
16, 196.8, 323.6, 0.10000
17, 205.5, 256.5, 0.10000
18, 282.0, 342.9, 0.10000
19, 426.3, 272.1, 0.10000
20, 277.8, 496.6, 0.10000
21, 298.8, 310.3, 0.10000
22, 366.9, 438.1, 0.10000
23, 440.4, 508.6, 0.10000
24, 583.6, 522.9, 0.10000
25, 394.6, 423.1, 0.10000
26, 477.3, 730.9, 0.10000
27, 753.3, 587.5, 0.10000
28, 657.3, 744.5, 0.10000
29, 328.1, 642.0, 0.10000
30, 280.4, 599.5, 0.10000
31, 589.9, 547.3, 0.10000
32, 483.0, 881.3, 0.10000
33, 841.8, 542.1, 0.10000
34, 430.2, 371.3, 0.10000
35, 437.4, 338.8, 0.10000
36, 313.1, 364.6, 0.10000
37, 379.1, 375.6, 0.10000
38, 437.7, 428.2, 0.10000
39, 560.3, 726.1, 0.10000
40, 612.6, 399.3, 0.10000
41, 635.5, 726.8, 0.10000
42, 761.3, 422.1, 0.10000
43, 467.2, 380.3, 0.10000
44, 530.8, 375.5, 0.10000
45, 377.9, 431.3, 0.10000
46, 438.2, 441.9, 0.10000
47, 464.4, 543.4, 0.10000
48, 525.1, 413.9, 0.10000
49, 372.2, 541.4, 0.10000
50, 649.4, 666.5, 0.10000
51, 454.5, 355.1, 0.10000
52, 489.4, 436.3, 0.10000
53, 421.5, 356.1, 0.10000
54, 358.3, 345.7, 0.10000
55, 268.3, 310.0, 0.10000
56, 275.1, 488.5, 0.10000
57, 399.3, 788.4, 0.10000
58, 518.3, 518.3, 0.10000
59, 782.3, 484.9, 0.10000
60, 365.8, 342.7, 0.10000
61, 537.7, 345.8, 0.10000
62, 339.3, 429.7, 0.10000
63, 474.1, 394.1, 0.10000
64, 398.6, 352.4, 0.10000
65, 423.2, 421.1, 0.10000
66, 361.8, 649.5, 0.10000
67, 611.7, 518.6, 0.10000
68, 513.0, 642.5, 0.10000
69, 635.0, 803.1, 0.10000
70, 684.7, 523.4, 0.10000
71, 482.6, 490.7, 0.10000
72, 431.6, 757.4, 0.10000
73, 429.7, 556.3, 0.10000
74, 533.9, 494.0, 0.10000
75, 488.4, 480.7, 0.10000
76, 528.5, 500.5, 0.10000
77, 518.5, 499.0, 0.10000
78, 401.5, 428.4, 0.10000
79, 468.9, 337.1, 0.10000
80, 521.5, 485.3, 0.10000
81, 458.7, 428.2, 0.10000
82, 518.2, 456.9, 0.10000
83, 486.0, 530.9, 0.10000
84, 353.8, 488.1, 0.10000
85, 515.2, 572.8, 0.10000
86, 531.9, 646.2, 0.10000
