# of episode, training score, validation score, sigma
1, 418.4, 135.5, 0.20000
2, 139.6, 135.4, 0.19802
3, 175.2, 135.9, 0.19606
4, 305.4, 135.5, 0.19412
5, 134.4, 151.7, 0.19220
6, 136.3, 236.9, 0.19029
7, 135.1, 156.7, 0.18841
8, 144.2, 226.3, 0.18654
9, 151.1, 347.9, 0.18470
10, 234.4, 372.5, 0.18287
11, 149.8, 339.2, 0.18106
12, 205.2, 339.7, 0.17926
13, 166.2, 306.9, 0.17749
14, 183.9, 267.9, 0.17573
15, 211.2, 293.0, 0.17399
16, 169.5, 350.6, 0.17227
17, 137.0, 331.1, 0.17056
18, 238.9, 402.3, 0.16888
19, 200.1, 354.1, 0.16720
20, 279.4, 250.9, 0.16555
21, 227.5, 266.9, 0.16391
22, 215.6, 308.8, 0.16229
23, 207.7, 240.2, 0.16068
24, 419.1, 404.3, 0.15909
25, 243.2, 395.5, 0.15751
26, 302.4, 600.9, 0.15595
27, 752.7, 463.6, 0.15441
28, 307.1, 496.9, 0.15288
29, 513.2, 261.7, 0.15137
30, 228.4, 210.0, 0.14987
31, 297.3, 380.6, 0.14838
32, 354.8, 381.5, 0.14692
33, 170.6, 292.0, 0.14546
34, 148.7, 145.8, 0.14402
35, 195.9, 200.8, 0.14259
36, 235.7, 299.4, 0.14118
37, 220.1, 353.0, 0.13978
38, 532.3, 326.1, 0.13840
39, 199.2, 332.4, 0.13703
40, 209.0, 359.9, 0.13567
41, 298.6, 351.4, 0.13433
42, 265.3, 362.8, 0.13300
43, 221.5, 303.8, 0.13168
44, 148.8, 335.4, 0.13038
45, 180.0, 229.7, 0.12909
46, 280.1, 371.1, 0.12781
47, 316.4, 447.4, 0.12655
48, 144.1, 418.6, 0.12529
49, 184.7, 360.3, 0.12405
50, 205.6, 276.0, 0.12282
51, 478.5, 284.9, 0.12161
52, 276.6, 348.5, 0.12040
53, 260.7, 291.6, 0.11921
54, 442.4, 284.7, 0.11803
55, 348.5, 314.9, 0.11686
56, 330.2, 397.8, 0.11571
57, 341.9, 355.9, 0.11456
58, 316.1, 445.5, 0.11343
59, 210.3, 383.4, 0.11230
60, 560.4, 310.7, 0.11119
61, 204.6, 318.1, 0.11009
62, 360.8, 280.7, 0.10900
63, 240.4, 301.0, 0.10792
64, 250.1, 315.4, 0.10685
65, 259.9, 304.1, 0.10579
66, 252.4, 193.3, 0.10475
67, 250.2, 267.0, 0.10371
68, 148.3, 331.9, 0.10268
69, 337.6, 322.6, 0.10167
70, 261.2, 427.4, 0.10066
71, 414.7, 356.4, 0.09966
