# of episode, training score, validation score, sigma
1, 503.9, 221.0, 0.19980
2, 151.5, 176.4, 0.19960
3, 181.9, 238.8, 0.19940
4, 196.3, 119.1, 0.19920
5, 250.2, 168.3, 0.19900
6, 183.8, 149.3, 0.19880
7, 134.2, 141.1, 0.19860
8, 200.2, 271.8, 0.19840
9, 290.1, 265.7, 0.19820
10, 246.7, 373.8, 0.19800
11, 329.6, 151.1, 0.19780
12, 303.0, 366.0, 0.19760
13, 342.1, 290.8, 0.19740
14, 277.7, 379.5, 0.19720
15, 394.4, 361.5, 0.19700
16, 461.4, 585.8, 0.19680
17, 468.8, 399.8, 0.19660
18, 389.5, 347.4, 0.19640
19, 573.0, 692.4, 0.19620
20, 638.2, 737.6, 0.19600
21, 772.3, 502.9, 0.19580
22, 420.2, 353.4, 0.19560
23, 335.1, 563.9, 0.19540
24, 382.6, 485.1, 0.19520
25, 471.3, 689.8, 0.19500
26, 568.6, 729.3, 0.19480
27, 628.3, 681.1, 0.19460
28, 822.5, 561.7, 0.19440
29, 638.0, 681.4, 0.19420
30, 673.2, 750.7, 0.19400
31, 553.1, 702.4, 0.19380
32, 783.5, 577.3, 0.19360
33, 694.7, 647.5, 0.19340
34, 774.3, 798.8, 0.19320
35, 674.9, 614.9, 0.19300
36, 643.6, 481.4, 0.19280
37, 541.6, 496.0, 0.19260
38, 434.5, 432.8, 0.19240
39, 414.0, 564.0, 0.19220
40, 488.4, 515.3, 0.19200
41, 468.0, 788.5, 0.19180
42, 577.1, 556.5, 0.19160
43, 675.4, 712.4, 0.19140
44, 757.1, 627.7, 0.19120
45, 833.1, 895.7, 0.19100
46, 915.1, 954.9, 0.19080
47, 936.0, 884.3, 0.19060
48, 911.5, 980.7, 0.19040
49, 915.8, 989.2, 0.19020
50, 968.1, 960.8, 0.19000
51, 972.2, 970.5, 0.18980
52, 974.4, 998.2, 0.18960
53, 950.7, 989.0, 0.18940
54, 971.4, 986.3, 0.18920
55, 966.6, 991.4, 0.18900
56, 964.0, 988.7, 0.18880
57, 977.0, 993.2, 0.18860
58, 980.2, 996.1, 0.18840
59, 973.0, 947.8, 0.18820
60, 975.9, 944.1, 0.18800
61, 941.1, 951.3, 0.18780
62, 936.1, 965.6, 0.18760
63, 967.1, 962.0, 0.18740
64, 958.8, 961.4, 0.18720
65, 948.8, 946.3, 0.18700
66, 971.3, 966.6, 0.18680
67, 966.2, 970.9, 0.18660
68, 968.0, 995.9, 0.18640
69, 982.7, 992.0, 0.18620
70, 985.6, 967.9, 0.18600
71, 979.9, 998.6, 0.18580
72, 986.8, 998.6, 0.18560
73, 970.0, 998.1, 0.18540
74, 984.4, 997.3, 0.18520
75, 945.4, 828.8, 0.18500
76, 928.8, 937.6, 0.18480
77, 943.5, 945.6, 0.18460
78, 952.6, 954.1, 0.18440
79, 941.4, 983.4, 0.18420
80, 961.2, 935.7, 0.18400
81, 937.4, 951.4, 0.18380
82, 933.4, 952.3, 0.18360
83, 951.2, 940.4, 0.18340
84, 960.5, 957.8, 0.18320
85, 941.1, 956.6, 0.18300
86, 953.1, 959.3, 0.18280
87, 963.9, 958.1, 0.18260
88, 947.7, 960.4, 0.18240
89, 946.5, 960.9, 0.18220
90, 956.8, 959.3, 0.18200
91, 936.1, 963.0, 0.18180
92, 944.3, 958.4, 0.18160
93, 940.2, 958.6, 0.18140
94, 856.8, 959.5, 0.18120
95, 956.3, 971.5, 0.18100
96, 956.8, 958.5, 0.18080
97, 947.7, 964.6, 0.18060
98, 946.1, 955.1, 0.18040
99, 958.3, 960.2, 0.18020
100, 947.7, 953.1, 0.18000
101, 941.8, 961.5, 0.17980
102, 947.4, 974.2, 0.17960
103, 959.9, 956.1, 0.17940
104, 949.1, 961.4, 0.17920
105, 954.4, 958.6, 0.17900
106, 951.9, 971.5, 0.17880
107, 967.3, 979.3, 0.17860
108, 950.4, 962.7, 0.17840
109, 945.3, 952.9, 0.17820
110, 963.5, 970.8, 0.17800
111, 966.5, 969.7, 0.17780
112, 953.9, 948.2, 0.17760
113, 962.8, 944.9, 0.17740
114, 955.0, 929.3, 0.17720
115, 943.1, 998.1, 0.17700
116, 987.1, 994.5, 0.17680
117, 972.6, 972.3, 0.17660
118, 952.1, 986.1, 0.17640
119, 979.5, 983.5, 0.17620
120, 977.9, 990.5, 0.17600
121, 973.0, 983.7, 0.17580
122, 970.2, 986.8, 0.17560
123, 971.6, 987.7, 0.17540
124, 973.6, 991.2, 0.17520
125, 979.9, 995.6, 0.17500
126, 984.1, 997.0, 0.17480
127, 983.6, 995.7, 0.17460
128, 983.5, 992.2, 0.17440
129, 978.7, 980.4, 0.17420
130, 973.8, 973.8, 0.17400
131, 944.7, 967.1, 0.17380
132, 943.8, 967.2, 0.17360
133, 963.4, 997.5, 0.17340
134, 972.9, 993.4, 0.17320
135, 989.7, 997.1, 0.17300
136, 987.6, 998.4, 0.17280
137, 982.7, 998.8, 0.17260
138, 985.6, 983.0, 0.17240
139, 969.4, 974.7, 0.17220
140, 952.5, 934.9, 0.17200
141, 932.5, 935.2, 0.17180
142, 920.0, 935.2, 0.17160
143, 909.0, 893.5, 0.17140
144, 913.1, 911.3, 0.17120
145, 907.0, 860.3, 0.17100
146, 892.3, 914.9, 0.17080
147, 901.3, 911.8, 0.17060
148, 893.0, 827.7, 0.17040
149, 925.8, 571.7, 0.17020
150, 518.5, 518.9, 0.17000
151, 392.0, 902.3, 0.16980
152, 872.3, 929.6, 0.16960
153, 927.4, 974.4, 0.16940
154, 978.7, 985.0, 0.16920
155, 979.4, 985.1, 0.16900
156, 981.1, 989.3, 0.16880
157, 983.6, 992.8, 0.16860
158, 976.5, 978.9, 0.16840
159, 961.4, 958.9, 0.16820
160, 954.1, 968.2, 0.16800
161, 949.9, 969.9, 0.16780
162, 954.9, 960.0, 0.16760
163, 958.3, 963.4, 0.16740
164, 961.9, 963.8, 0.16720
165, 950.1, 961.7, 0.16700
166, 954.4, 961.9, 0.16680
167, 956.1, 947.0, 0.16660
168, 947.2, 968.6, 0.16640
169, 948.6, 968.4, 0.16620
170, 957.1, 970.2, 0.16600
171, 955.6, 962.0, 0.16580
172, 967.7, 991.4, 0.16560
173, 989.3, 985.6, 0.16540
174, 983.5, 965.2, 0.16520
175, 965.2, 967.5, 0.16500
176, 975.9, 989.5, 0.16480
177, 983.5, 984.9, 0.16460
178, 983.1, 980.6, 0.16440
179, 980.9, 993.4, 0.16420
180, 978.4, 977.0, 0.16400
181, 980.5, 982.5, 0.16380
182, 959.1, 982.0, 0.16360
183, 964.8, 977.2, 0.16340
184, 970.1, 963.2, 0.16320
185, 976.1, 987.5, 0.16300
186, 982.7, 989.9, 0.16280
187, 986.5, 988.5, 0.16260
188, 988.1, 996.0, 0.16240
189, 987.9, 995.7, 0.16220
190, 989.6, 998.3, 0.16200
191, 990.1, 997.9, 0.16180
192, 987.5, 992.4, 0.16160
193, 980.2, 990.5, 0.16140
194, 986.3, 991.2, 0.16120
195, 988.6, 994.5, 0.16100
196, 987.1, 983.5, 0.16080
197, 986.5, 992.3, 0.16060
198, 982.9, 990.4, 0.16040
199, 981.4, 986.0, 0.16020
200, 976.2, 981.3, 0.16000
201, 972.3, 975.3, 0.15980
202, 973.9, 972.4, 0.15960
203, 964.9, 982.6, 0.15940
204, 975.9, 971.2, 0.15920
205, 971.4, 984.2, 0.15900
206, 974.7, 975.1, 0.15880
207, 961.7, 949.3, 0.15860
208, 910.2, 845.1, 0.15840
209, 953.9, 925.4, 0.15820
210, 946.9, 966.5, 0.15800
211, 911.1, 961.6, 0.15780
212, 938.9, 954.7, 0.15760
213, 922.4, 909.2, 0.15740
214, 936.9, 957.8, 0.15720
215, 979.4, 997.6, 0.15700
216, 984.7, 991.5, 0.15680
217, 936.6, 923.4, 0.15660
218, 944.5, 899.1, 0.15640
219, 915.4, 922.6, 0.15620
220, 941.2, 994.3, 0.15600
221, 985.6, 984.2, 0.15580
222, 979.6, 984.1, 0.15560
223, 980.0, 995.0, 0.15540
224, 990.3, 995.7, 0.15520
225, 986.2, 986.8, 0.15500
226, 974.8, 976.8, 0.15480
227, 973.1, 973.5, 0.15460
228, 971.5, 976.8, 0.15440
229, 969.9, 982.3, 0.15420
230, 970.0, 966.8, 0.15400
231, 968.7, 976.5, 0.15380
232, 956.7, 969.7, 0.15360
233, 959.9, 966.0, 0.15340
234, 946.9, 957.2, 0.15320
235, 935.6, 951.4, 0.15300
236, 951.6, 962.4, 0.15280
237, 956.5, 969.9, 0.15260
238, 948.0, 969.9, 0.15240
239, 963.7, 981.9, 0.15220
240, 980.4, 990.8, 0.15200
241, 985.8, 981.8, 0.15180
242, 973.7, 984.1, 0.15160
243, 976.5, 976.2, 0.15140
244, 982.4, 988.2, 0.15120
245, 980.7, 980.4, 0.15100
246, 969.7, 976.1, 0.15080
247, 963.5, 971.9, 0.15060
248, 961.9, 957.2, 0.15040
249, 942.4, 954.1, 0.15020
250, 938.4, 936.4, 0.15000
251, 930.1, 925.4, 0.14980
252, 936.3, 918.7, 0.14960
253, 910.1, 922.6, 0.14940
254, 913.4, 926.1, 0.14920
255, 932.3, 929.5, 0.14900
256, 935.6, 922.0, 0.14880
257, 927.6, 915.1, 0.14860
258, 924.6, 942.8, 0.14840
