# of episode, training score, validation score, sigma
1, 391.6, 224.7, 0.10000
2, 162.3, 168.9, 0.10000
3, 204.8, 209.5, 0.10000
4, 194.4, 183.0, 0.10000
5, 183.8, 214.1, 0.10000
6, 190.0, 198.5, 0.10000
7, 194.2, 242.7, 0.10000
8, 252.8, 233.2, 0.10000
9, 180.4, 179.0, 0.10000
10, 112.8, 189.7, 0.10000
11, 206.5, 225.5, 0.10000
12, 264.2, 207.6, 0.10000
13, 146.9, 195.8, 0.10000
14, 241.0, 207.8, 0.10000
15, 215.7, 214.3, 0.10000
16, 226.7, 229.0, 0.10000
17, 211.6, 223.1, 0.10000
18, 212.8, 236.9, 0.10000
19, 271.6, 236.5, 0.10000
20, 284.4, 240.0, 0.10000
21, 271.7, 246.8, 0.10000
22, 290.5, 221.5, 0.10000
23, 263.1, 227.7, 0.10000
24, 227.9, 184.8, 0.10000
25, 281.6, 250.8, 0.10000
26, 234.9, 249.8, 0.10000
27, 254.0, 212.0, 0.10000
28, 211.7, 181.3, 0.10000
29, 222.2, 230.2, 0.10000
30, 229.5, 222.7, 0.10000
31, 232.6, 229.0, 0.10000
32, 266.1, 269.6, 0.10000
33, 226.6, 212.8, 0.10000
34, 177.5, 220.6, 0.10000
35, 176.7, 250.3, 0.10000
36, 255.4, 255.4, 0.10000
37, 187.1, 265.3, 0.10000
38, 293.2, 255.1, 0.10000
39, 194.5, 267.7, 0.10000
40, 241.6, 279.2, 0.10000
41, 249.1, 248.9, 0.10000
42, 209.5, 230.0, 0.10000
43, 204.5, 242.9, 0.10000
44, 250.1, 222.2, 0.10000
45, 247.3, 222.6, 0.10000
46, 158.8, 239.6, 0.10000
47, 232.4, 260.5, 0.10000
48, 184.4, 244.5, 0.10000
49, 230.0, 241.2, 0.10000
50, 215.5, 239.6, 0.10000
51, 206.3, 241.5, 0.10000
52, 219.8, 249.3, 0.10000
53, 227.4, 211.2, 0.10000
54, 212.4, 243.6, 0.10000
55, 231.1, 233.8, 0.10000
56, 185.8, 239.1, 0.10000
57, 237.2, 220.1, 0.10000
58, 220.0, 234.4, 0.10000
59, 256.1, 215.7, 0.10000
60, 203.2, 225.2, 0.10000
61, 183.0, 240.2, 0.10000
62, 237.8, 231.2, 0.10000
63, 258.6, 223.1, 0.10000
64, 246.8, 256.1, 0.10000
65, 220.8, 249.3, 0.10000
66, 241.7, 249.5, 0.10000
67, 259.3, 264.7, 0.10000
68, 256.3, 253.7, 0.10000
69, 348.7, 257.8, 0.10000
70, 287.3, 290.7, 0.10000
71, 247.7, 279.7, 0.10000
72, 261.0, 288.4, 0.10000
73, 239.7, 275.0, 0.10000
74, 245.9, 229.3, 0.10000
75, 234.6, 275.8, 0.10000
76, 284.0, 268.1, 0.10000
77, 308.5, 275.0, 0.10000
78, 250.6, 246.4, 0.10000
79, 301.8, 272.0, 0.10000
80, 214.8, 262.0, 0.10000
81, 254.9, 234.0, 0.10000
82, 222.7, 248.5, 0.10000
83, 248.4, 256.3, 0.10000
84, 193.7, 254.5, 0.10000
85, 286.2, 245.5, 0.10000
86, 300.0, 239.6, 0.10000
87, 246.6, 254.8, 0.10000
88, 207.5, 256.1, 0.10000
89, 251.8, 222.8, 0.10000
90, 203.6, 238.1, 0.10000
91, 249.5, 225.9, 0.10000
92, 235.4, 164.7, 0.10000
93, 148.5, 196.9, 0.10000
94, 216.6, 198.4, 0.10000
95, 182.0, 219.0, 0.10000
96, 220.5, 210.9, 0.10000
97, 248.0, 205.5, 0.10000
98, 218.0, 282.9, 0.10000
99, 233.7, 200.3, 0.10000
100, 203.6, 207.7, 0.10000
101, 184.7, 245.8, 0.10000
102, 231.0, 232.5, 0.10000
103, 255.9, 232.3, 0.10000
104, 243.1, 228.4, 0.10000
105, 228.3, 223.4, 0.10000
106, 206.6, 242.3, 0.10000
107, 274.9, 273.3, 0.10000
108, 268.9, 231.7, 0.10000
109, 297.7, 260.7, 0.10000
110, 319.5, 271.8, 0.10000
111, 251.5, 261.3, 0.10000
112, 294.6, 252.3, 0.10000
113, 226.2, 255.1, 0.10000
114, 255.5, 216.5, 0.10000
115, 236.1, 222.8, 0.10000
116, 178.4, 258.7, 0.10000
117, 246.6, 311.3, 0.10000
118, 337.3, 344.1, 0.10000
119, 280.3, 303.5, 0.10000
120, 312.1, 292.6, 0.10000
121, 354.8, 260.4, 0.10000
122, 335.2, 260.2, 0.10000
123, 271.2, 229.5, 0.10000
124, 272.9, 267.3, 0.10000
125, 323.0, 278.3, 0.10000
126, 292.1, 277.5, 0.10000
127, 278.4, 286.7, 0.10000
