# of episode, training score, validation score, sigma
1, 306.7, 185.9, 0.20000
2, 141.9, 118.5, 0.19802
3, 160.0, 151.7, 0.19606
4, 143.0, 193.1, 0.19412
5, 212.3, 209.5, 0.19220
6, 143.0, 228.3, 0.19029
7, 161.9, 220.3, 0.18841
8, 187.0, 222.4, 0.18654
9, 160.1, 186.0, 0.18470
10, 168.7, 176.7, 0.18287
11, 147.4, 220.6, 0.18106
12, 184.1, 198.3, 0.17926
13, 174.5, 216.8, 0.17749
14, 166.3, 216.3, 0.17573
15, 167.8, 218.2, 0.17399
16, 228.7, 215.6, 0.17227
17, 142.7, 210.9, 0.17056
18, 197.6, 198.7, 0.16888
19, 131.9, 206.2, 0.16720
20, 221.4, 209.8, 0.16555
21, 205.6, 208.4, 0.16391
22, 191.9, 207.8, 0.16229
23, 198.6, 189.1, 0.16068
24, 187.3, 213.8, 0.15909
25, 176.7, 225.7, 0.15751
26, 187.1, 203.7, 0.15595
27, 169.7, 230.4, 0.15441
28, 177.8, 223.6, 0.15288
29, 238.4, 220.5, 0.15137
30, 152.0, 245.3, 0.14987
31, 209.6, 260.0, 0.14838
32, 209.8, 241.6, 0.14692
33, 200.6, 243.9, 0.14546
34, 194.7, 249.7, 0.14402
35, 187.1, 224.0, 0.14259
36, 204.4, 225.9, 0.14118
37, 234.0, 226.8, 0.13978
38, 161.3, 246.9, 0.13840
39, 261.0, 235.1, 0.13703
40, 188.7, 256.7, 0.13567
41, 170.2, 256.1, 0.13433
42, 171.2, 265.2, 0.13300
43, 200.0, 266.6, 0.13168
44, 238.1, 230.6, 0.13038
45, 264.9, 242.9, 0.12909
46, 157.4, 242.1, 0.12781
47, 232.8, 229.8, 0.12655
48, 226.2, 254.6, 0.12529
49, 260.4, 241.7, 0.12405
50, 299.9, 233.3, 0.12282
51, 178.4, 228.6, 0.12161
52, 220.2, 220.3, 0.12040
53, 196.2, 242.8, 0.11921
54, 217.8, 267.9, 0.11803
55, 238.0, 231.7, 0.11686
56, 236.5, 242.5, 0.11571
57, 191.7, 229.9, 0.11456
58, 162.0, 253.9, 0.11343
59, 223.8, 252.9, 0.11230
60, 246.6, 247.5, 0.11119
61, 208.7, 238.6, 0.11009
62, 241.1, 210.0, 0.10900
63, 222.5, 236.1, 0.10792
64, 230.3, 276.0, 0.10685
65, 233.6, 236.5, 0.10579
66, 134.9, 285.2, 0.10475
67, 190.3, 236.1, 0.10371
68, 249.6, 227.3, 0.10268
69, 274.1, 248.2, 0.10167
70, 227.8, 229.3, 0.10066
71, 178.9, 246.7, 0.09966
72, 107.0, 240.1, 0.09868
73, 249.2, 248.5, 0.09770
74, 176.4, 235.9, 0.09673
75, 229.7, 233.9, 0.09577
76, 300.6, 241.4, 0.09483
77, 240.6, 257.2, 0.09389
78, 272.9, 206.5, 0.09296
79, 202.5, 250.5, 0.09204
80, 182.6, 253.2, 0.09113
81, 239.8, 266.8, 0.09022
82, 283.5, 271.4, 0.08933
83, 213.4, 268.7, 0.08845
84, 321.0, 274.2, 0.08757
85, 231.2, 287.4, 0.08670
86, 296.3, 266.9, 0.08584
87, 274.6, 263.2, 0.08499
88, 221.3, 254.2, 0.08415
89, 282.0, 260.3, 0.08332
90, 213.1, 264.8, 0.08250
91, 243.6, 265.8, 0.08168
92, 279.6, 276.3, 0.08087
93, 302.0, 255.1, 0.08007
94, 201.2, 244.2, 0.07928
95, 195.2, 242.4, 0.07849
96, 327.0, 213.8, 0.07771
97, 220.2, 201.8, 0.07694
98, 159.3, 178.8, 0.07618
99, 163.5, 197.5, 0.07543
100, 191.7, 196.5, 0.07468
101, 176.6, 198.0, 0.07394
102, 171.5, 200.7, 0.07321
103, 165.4, 211.2, 0.07249
104, 243.2, 215.3, 0.07177
105, 185.4, 208.4, 0.07106
106, 210.0, 209.4, 0.07035
107, 160.4, 204.1, 0.06966
108, 169.9, 217.3, 0.06897
109, 189.5, 206.7, 0.06828
110, 274.5, 210.4, 0.06761
111, 202.2, 208.1, 0.06694
112, 209.1, 235.6, 0.06628
113, 199.2, 222.9, 0.06562
114, 158.6, 245.9, 0.06497
115, 197.9, 197.5, 0.06433
116, 219.5, 209.1, 0.06369
117, 238.6, 217.6, 0.06306
118, 187.9, 183.1, 0.06244
119, 173.3, 197.1, 0.06182
120, 184.0, 221.1, 0.06120
121, 148.0, 189.0, 0.06060
122, 245.5, 226.8, 0.06000
123, 202.5, 204.4, 0.05940
124, 233.1, 213.8, 0.05882
125, 180.9, 215.9, 0.05823
126, 219.8, 236.5, 0.05766
127, 195.4, 202.8, 0.05709
128, 308.1, 206.3, 0.05652
129, 245.5, 241.8, 0.05596
130, 215.3, 235.8, 0.05541
131, 164.7, 251.8, 0.05486
132, 197.4, 253.5, 0.05432
133, 234.0, 239.7, 0.05378
134, 180.4, 242.5, 0.05325
135, 159.4, 233.2, 0.05272
136, 251.7, 234.3, 0.05220
137, 184.4, 241.6, 0.05168
138, 281.1, 207.2, 0.05117
139, 284.0, 240.3, 0.05066
140, 195.0, 215.7, 0.05016
141, 162.2, 240.7, 0.04966
142, 240.4, 206.7, 0.04917
143, 238.6, 238.9, 0.04868
144, 158.6, 219.9, 0.04820
145, 159.5, 216.5, 0.04773
146, 245.4, 228.1, 0.04725
147, 193.8, 237.8, 0.04679
148, 205.6, 223.4, 0.04632
149, 284.7, 210.8, 0.04586
150, 218.9, 235.8, 0.04541
151, 206.3, 234.4, 0.04496
152, 285.1, 247.3, 0.04451
153, 258.3, 250.7, 0.04407
154, 259.9, 257.0, 0.04364
155, 218.8, 262.9, 0.04321
156, 267.6, 258.3, 0.04278
157, 229.2, 273.6, 0.04235
158, 242.2, 244.3, 0.04193
159, 189.5, 257.9, 0.04152
160, 233.9, 235.8, 0.04111
161, 294.8, 243.3, 0.04070
162, 189.3, 250.5, 0.04030
163, 277.7, 242.4, 0.03990
164, 277.3, 248.7, 0.03950
165, 307.3, 223.7, 0.03911
166, 208.3, 235.4, 0.03873
167, 295.6, 219.8, 0.03834
168, 268.7, 252.5, 0.03796
169, 296.4, 239.6, 0.03759
170, 242.4, 302.4, 0.03721
171, 277.9, 258.0, 0.03685
172, 239.5, 273.8, 0.03648
173, 242.9, 291.7, 0.03612
174, 324.1, 283.4, 0.03576
175, 305.4, 292.2, 0.03541
176, 266.1, 281.4, 0.03506
177, 269.8, 264.4, 0.03471
178, 292.0, 273.3, 0.03437
179, 296.9, 288.6, 0.03403
180, 321.9, 261.4, 0.03369
181, 319.7, 276.8, 0.03336
182, 274.3, 267.6, 0.03303
183, 306.1, 253.7, 0.03270
184, 231.0, 282.5, 0.03238
185, 235.7, 255.6, 0.03206
186, 254.7, 220.8, 0.03174
187, 234.8, 197.2, 0.03142
188, 187.1, 234.5, 0.03111
189, 228.1, 227.3, 0.03080
190, 340.7, 207.8, 0.03050
191, 166.3, 208.2, 0.03020
192, 152.3, 227.2, 0.02990
193, 234.8, 271.2, 0.02960
194, 315.7, 223.7, 0.02931
195, 233.8, 237.5, 0.02902
196, 253.7, 271.2, 0.02873
197, 288.1, 261.9, 0.02845
198, 218.6, 264.1, 0.02817
199, 232.9, 247.5, 0.02789
200, 245.1, 269.3, 0.02761
201, 315.3, 236.2, 0.02734
202, 215.1, 225.0, 0.02707
203, 139.8, 247.4, 0.02680
204, 204.3, 230.3, 0.02653
205, 188.1, 209.8, 0.02627
206, 198.1, 220.8, 0.02601
207, 148.0, 206.6, 0.02575
208, 150.1, 202.7, 0.02550
209, 218.3, 189.5, 0.02525
210, 207.2, 187.9, 0.02500
211, 137.2, 199.3, 0.02475
212, 317.8, 182.8, 0.02450
213, 189.1, 193.3, 0.02426
214, 219.0, 201.1, 0.02402
215, 195.5, 217.9, 0.02378
216, 177.3, 223.7, 0.02355
217, 192.2, 207.1, 0.02331
218, 163.1, 213.3, 0.02308
219, 185.8, 237.3, 0.02285
220, 258.4, 232.3, 0.02263
221, 209.7, 210.8, 0.02240
222, 278.5, 210.3, 0.02218
223, 168.4, 183.1, 0.02196
224, 164.0, 251.4, 0.02175
225, 272.6, 244.5, 0.02153
226, 219.2, 236.4, 0.02132
227, 208.9, 292.9, 0.02111
228, 282.0, 260.6, 0.02090
229, 289.0, 210.0, 0.02069
230, 209.9, 273.6, 0.02048
231, 287.5, 263.1, 0.02028
232, 237.7, 247.7, 0.02008
233, 200.2, 229.9, 0.01988
234, 204.5, 261.2, 0.01969
235, 240.5, 257.5, 0.01949
236, 227.9, 228.3, 0.01930
237, 232.6, 218.9, 0.01911
238, 167.4, 214.3, 0.01892
239, 173.2, 225.0, 0.01873
240, 182.5, 238.7, 0.01854
241, 228.8, 185.0, 0.01836
